FileID 		 Category 		 Angle
dfd5f913		ship		43.92
e25388fd		ship		38.16
58b2aaa0		ice		45.29
4cfc3a18		ship		43.83
271f93f4		ship		35.63
b51d18b5		ice		36.90
31da1a04		ice		34.48
56929c16		ship		41.18
525ab75c		ship		35.78
192f56eb		ship		43.30
3aac67cd		ice		44.62
161a6860		ship		39.51
3c794f0c		ice		41.85
86730f0d		ice		45.29
e356f7a3		ship		34.77
87592c38		ship		43.78
1c18a39e		ship		45.36
a210f335		ship		38.78
958d155f		ship		42.51
6d81d201		ice		37.28
75126706		ship		41.80
112a6cfa		ice		38.07
a29662a4		ship		39.66
bd1a1bdf		ice		37.69
31e37d93		ship		40.30
76b8d446		ice		39.23
958d42a8		ice		40.39
70830858		ship		43.79
faf2c49e		ice		42.59
02314c59		ship		41.03
6332531e		ship		34.87
c05730c3		ship		34.05
83dd3a43		ice		43.95
f193e8b0		ice		44.62
132118fc		ice		34.00
93a797d3		ice		35.70
0a192892		ice		35.30
f6a75c6b		ship		35.78
4cfca6da		ice		34.47
a65b9aff		ice		41.44
af91525e		ice		42.15
4be9117c		ship		39.59
3d24353c		ship		31.46
66d17828		ship		43.11
b78438be		ship		44.46
91febbeb		ship		31.34
ade9a4ab		ice		36.11
b7e6b182		ice		40.71
2e5ba8a2		ship		40.96
2336fe9c		ice		34.47
f6c43c24		ice		38.07
c49bd5f2		ice		38.85
a87234b9		ship		44.59
6c905a48		ice		42.57
a2a728d6		ice		36.48
28de1d17		ship		42.54
bee2de18		ship		39.54
379e9548		ship		36.50
2d8ace41		ice		35.66
3a75d8bc		ship		36.40
08fb43c6		ice		41.13
4d57fe03		ice		32.27
7e02f2d0		ship		38.92
2951d5a2		ship		42.56
67cdcd2f		ship		30.49
2f23d622		ship		40.37
1d500cdf		ice		33.13
9f84a328		ship		45.14
79a6f286		ice		34.47
8416c38c		ice		41.43
f2bdb041		ice		40.70
3ab15430		ship		37.34
d8b894c2		ship		45.37
29795667		ice		44.62
cb639848		ice		38.46
b8e965d2		ice		34.47
ebff4efc		ship		42.54
50853a36		ice		37.69
8e0f4515		ice		34.47
ba84b60e		ship		42.78
0717d705		ship		42.54
0334eec4		ice		37.29
9fde51a8		ice		36.43
7ea9222e		ice		39.98
dac5bd92		ice		35.30
